"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group","ensembl_gene_id","Gene_name"
"ENSG00000028528.15",4263.398,-0.031,0.128,-0.244,0.807,1,"insig","ENSG00000028528","SNX1"
"ENSG00000028839.10",383.167,-0.216,0.216,-1,0.317,1,"insig","ENSG00000028839","TBPL1"
"ENSG00000029363.17",3117.385,-0.067,0.153,-0.438,0.662,1,"insig","ENSG00000029363","BCLAF1"
"ENSG00000029364.12",3760.433,-0.099,0.202,-0.491,0.623,1,"insig","ENSG00000029364","SLC39A9"
"ENSG00000029559.7",119.305,-0.19,1.049,-0.181,0.857,1,"insig","ENSG00000029559","IBSP"
"ENSG00000029639.11",337.424,-0.42,0.277,-1.518,0.129,0.978,"insig","ENSG00000029639","TFB1M"
"ENSG00000029725.17",1199.367,-0.018,0.219,-0.081,0.936,1,"insig","ENSG00000029725","RABEP1"
"ENSG00000029993.15",2223.849,-0.153,0.316,-0.482,0.63,1,"insig","ENSG00000029993","HMGB3"
"ENSG00000031081.11",534.064,-0.077,0.329,-0.233,0.816,1,"insig","ENSG00000031081","ARHGAP31"
"ENSG00000031691.7",166.599,-0.534,0.203,-2.632,0.008,0.399,"insig","ENSG00000031691","CENPQ"
"ENSG00000031698.13",6081.171,0.014,0.211,0.065,0.948,1,"insig","ENSG00000031698","SARS1"
"ENSG00000031823.14",2421.768,0.016,0.134,0.118,0.906,1,"insig","ENSG00000031823","RANBP3"
"ENSG00000032219.19",1025.439,0.189,0.283,0.666,0.505,1,"insig","ENSG00000032219","ARID4A"
"ENSG00000032389.13",1151.259,-0.158,0.231,-0.684,0.494,1,"insig","ENSG00000032389","EIPR1"
"ENSG00000032444.17",2723.587,-0.144,0.182,-0.788,0.43,1,"insig","ENSG00000032444","PNPLA6"
"ENSG00000032742.18",664.119,0.159,0.236,0.674,0.5,1,"insig","ENSG00000032742","IFT88"
"ENSG00000033050.9",607.714,-0.038,0.258,-0.148,0.883,1,"insig","ENSG00000033050","ABCF2"
"ENSG00000033122.21",145.075,0.08,0.71,0.113,0.91,1,"insig","ENSG00000033122","LRRC7"
"ENSG00000033170.17",586.478,-1.257,0.403,-3.121,0.002,0.184,"insig","ENSG00000033170","FUT8"
"ENSG00000033178.13",1499.378,-0.336,0.124,-2.709,0.007,0.37,"insig","ENSG00000033178","UBA6"
"ENSG00000033327.13",1007.547,0.112,0.311,0.36,0.718,1,"insig","ENSG00000033327","GAB2"
"ENSG00000033800.14",1133.67,0.054,0.165,0.326,0.745,1,"insig","ENSG00000033800","PIAS1"
"ENSG00000034239.11",15.343,1.256,0.703,1.787,0.074,0.938,"insig","ENSG00000034239","CLXN"
"ENSG00000034510.6",55494.422,0.041,0.461,0.089,0.929,1,"insig","ENSG00000034510","TMSB10"
