"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group","ensembl_gene_id","Gene_name"
"ENSG00000071189.21",1217,-0.004,0.163,-0.024,0.981,1,"insig","ENSG00000071189","SNX13"
"ENSG00000071203.9",0.1,0.396,3.657,0.108,0.914,1,"insig","ENSG00000071203","MS4A12"
"ENSG00000071205.12",442.142,-0.225,0.392,-0.574,0.566,1,"insig","ENSG00000071205","ARHGAP10"
"ENSG00000071242.12",1086.044,-0.105,0.31,-0.341,0.733,1,"insig","ENSG00000071242","RPS6KA2"
"ENSG00000071243.16",347.098,-0.219,0.155,-1.414,0.157,0.997,"insig","ENSG00000071243","ING3"
"ENSG00000071246.11",396.43,-0.131,0.224,-0.583,0.56,1,"insig","ENSG00000071246","VASH1"
"ENSG00000071282.12",1290.823,0.346,0.367,0.944,0.345,1,"insig","ENSG00000071282","LMCD1"
"ENSG00000071537.14",5812.651,-0.095,0.347,-0.274,0.784,1,"insig","ENSG00000071537","SEL1L"
"ENSG00000071539.14",329.303,-0.911,0.491,-1.855,0.064,0.901,"insig","ENSG00000071539","TRIP13"
"ENSG00000071553.18",6096.38,0.211,0.171,1.23,0.219,1,"insig","ENSG00000071553","ATP6AP1"
"ENSG00000071626.17",4474.758,-0.049,0.155,-0.316,0.752,1,"insig","ENSG00000071626","DAZAP1"
"ENSG00000071655.18",2089.241,-0.203,0.235,-0.867,0.386,1,"insig","ENSG00000071655","MBD3"
"ENSG00000071677.1",0.31,0.17,2.18,0.078,0.938,1,"insig","ENSG00000071677","PRLH"
"ENSG00000071794.16",551.525,0.08,0.38,0.212,0.832,1,"insig","ENSG00000071794","HLTF"
"ENSG00000071859.15",3506.779,0.076,0.24,0.316,0.752,1,"insig","ENSG00000071859","FAM50A"
"ENSG00000071889.17",2281.036,-0.053,0.21,-0.254,0.799,1,"insig","ENSG00000071889","FAM3A"
"ENSG00000071894.17",4381.78,0.295,0.233,1.269,0.205,1,"insig","ENSG00000071894","CPSF1"
"ENSG00000071909.19",91.117,2.243,0.9,2.491,0.013,0.501,"insig","ENSG00000071909","MYO3B"
"ENSG00000071967.12",1821.873,-0.255,0.437,-0.585,0.559,1,"insig","ENSG00000071967","CYBRD1"
"ENSG00000071991.9",226.161,0.083,0.885,0.093,0.926,1,"insig","ENSG00000071991","CDH19"
"ENSG00000071994.11",1331.278,-0.39,0.167,-2.338,0.019,0.614,"insig","ENSG00000071994","PDCD2"
"ENSG00000072042.13",3473.798,0.108,0.374,0.288,0.774,1,"insig","ENSG00000072042","RDH11"
"ENSG00000072080.11",2917.087,0.251,1.487,0.169,0.866,1,"insig","ENSG00000072080","SPP2"
"ENSG00000072121.17",962.54,-0.03,0.186,-0.162,0.871,1,"insig","ENSG00000072121","ZFYVE26"
"ENSG00000072135.13",3127.359,-0.064,0.167,-0.383,0.702,1,"insig","ENSG00000072135","PTPN18"
"ENSG00000072163.20",1510.562,0.126,0.388,0.325,0.745,1,"insig","ENSG00000072163","LIMS2"
"ENSG00000072195.15",1355.628,0.836,0.653,1.279,0.201,1,"insig","ENSG00000072195","SPEG"
"ENSG00000072201.14",468.841,0.779,0.41,1.902,0.057,0.875,"insig","ENSG00000072201","LNX1"
"ENSG00000072210.19",9858.078,-0.099,0.39,-0.254,0.8,1,"insig","ENSG00000072210","ALDH3A2"
"ENSG00000072364.13",4875.393,-0.026,0.249,-0.105,0.916,1,"insig","ENSG00000072364","AFF4"
"ENSG00000072401.15",667.107,-0.063,0.144,-0.434,0.664,1,"insig","ENSG00000072401","UBE2D1"
"ENSG00000072415.10",1082.866,-0.263,0.224,-1.172,0.241,1,"insig","ENSG00000072415","PALS1"
"ENSG00000072422.17",635.783,0.113,0.324,0.348,0.728,1,"insig","ENSG00000072422","RHOBTB1"
"ENSG00000072501.19",3409.218,-0.035,0.199,-0.174,0.861,1,"insig","ENSG00000072501","SMC1A"
"ENSG00000072571.20",271.972,-1.064,0.51,-2.088,0.037,0.78,"insig","ENSG00000072571","HMMR"
"ENSG00000072609.18",947.327,0.18,0.228,0.786,0.432,1,"insig","ENSG00000072609","CHFR"
"ENSG00000072736.19",569.773,0.138,0.23,0.597,0.55,1,"insig","ENSG00000072736","NFATC3"
"ENSG00000072778.20",23349.249,0.061,0.308,0.198,0.843,1,"insig","ENSG00000072778","ACADVL"
"ENSG00000072786.13",1335.825,0.178,0.301,0.591,0.554,1,"insig","ENSG00000072786","STK10"
"ENSG00000072818.12",390.376,-0.004,0.373,-0.01,0.992,1,"insig","ENSG00000072818","ACAP1"
"ENSG00000072832.15",1262.213,0.338,0.464,0.728,0.467,1,"insig","ENSG00000072832","CRMP1"
"ENSG00000072840.13",1904.209,0.446,0.451,0.988,0.323,1,"insig","ENSG00000072840","EVC"
"ENSG00000072849.11",1895.99,-0.201,0.174,-1.153,0.249,1,"insig","ENSG00000072849","DERL2"
"ENSG00000072858.11",81.751,0.115,0.455,0.251,0.801,1,"insig","ENSG00000072858","SIDT1"
"ENSG00000072864.16",593.931,0.173,0.287,0.603,0.547,1,"insig","ENSG00000072864","NDE1"
"ENSG00000072954.7",340.679,0.199,0.444,0.447,0.655,1,"insig","ENSG00000072954","TMEM38A"
"ENSG00000072958.9",3351.799,-0.104,0.269,-0.388,0.698,1,"insig","ENSG00000072958","AP1M1"
"ENSG00000073050.12",1242.49,0.135,0.225,0.601,0.548,1,"insig","ENSG00000073050","XRCC1"
"ENSG00000073067.14",101.454,-0.696,0.678,-1.026,0.305,1,"insig","ENSG00000073067","CYP2W1"
"ENSG00000073111.14",661.043,0.022,0.41,0.053,0.958,1,"insig","ENSG00000073111","MCM2"
"ENSG00000073150.14",378.239,-0.456,0.588,-0.775,0.438,1,"insig","ENSG00000073150","PANX2"
"ENSG00000073282.14",37.477,-0.14,0.681,-0.206,0.837,1,"insig","ENSG00000073282","TP63"
"ENSG00000073331.18",699.436,-0.075,0.213,-0.354,0.724,1,"insig","ENSG00000073331","ALPK1"
"ENSG00000073350.14",7815.717,-0.174,0.305,-0.572,0.567,1,"insig","ENSG00000073350","LLGL2"
"ENSG00000073417.15",2283.418,0.324,0.273,1.186,0.236,1,"insig","ENSG00000073417","PDE8A"
"ENSG00000073464.13",542.01,0.453,0.403,1.125,0.26,1,"insig","ENSG00000073464","CLCN4"
"ENSG00000073536.18",815.575,-0.421,0.258,-1.63,0.103,0.945,"insig","ENSG00000073536","NLE1"
"ENSG00000073584.20",358.763,-0.216,0.245,-0.881,0.379,1,"insig","ENSG00000073584","SMARCE1"
"ENSG00000073598.6",1.997,0.599,0.64,0.935,0.35,1,"insig","ENSG00000073598","FNDC8"
"ENSG00000073614.13",2188.847,0.269,0.179,1.502,0.133,0.982,"insig","ENSG00000073614","KDM5A"
"ENSG00000073670.14",52.493,0.563,0.469,1.2,0.23,1,"insig","ENSG00000073670","ADAM11"
"ENSG00000073711.11",687.982,-0.337,0.498,-0.678,0.498,1,"insig","ENSG00000073711","PPP2R3A"
"ENSG00000073712.15",2646.559,-0.087,0.467,-0.187,0.852,1,"insig","ENSG00000073712","FERMT2"
"ENSG00000073734.10",1423.818,-0.019,1.129,-0.017,0.987,1,"insig","ENSG00000073734","ABCB11"
"ENSG00000073737.17",41.841,0.351,0.566,0.621,0.535,1,"insig","ENSG00000073737","DHRS9"
"ENSG00000073754.6",787.341,-0.062,1.335,-0.047,0.963,1,"insig","ENSG00000073754","CD5L"
"ENSG00000073792.16",906.408,0.217,0.476,0.456,0.648,1,"insig","ENSG00000073792","IGF2BP2"
"ENSG00000073803.14",1501.415,-0.043,0.202,-0.212,0.832,1,"insig","ENSG00000073803","MAP3K13"
"ENSG00000073849.16",18693.885,0.044,0.62,0.071,0.944,1,"insig","ENSG00000073849","ST6GAL1"
"ENSG00000073861.3",57.254,0.621,0.617,1.006,0.314,1,"insig","ENSG00000073861","TBX21"
"ENSG00000073905.8",5.656,0.442,0.439,1.008,0.314,1,"insig","ENSG00000073905","VDAC1P1"
"ENSG00000073921.18",7052.626,0.008,0.168,0.05,0.96,1,"insig","ENSG00000073921","PICALM"
"ENSG00000074047.22",124.386,-0.983,0.477,-2.058,0.04,0.803,"insig","ENSG00000074047","GLI2"
"ENSG00000074071.15",2456.807,0.015,0.249,0.062,0.951,1,"insig","ENSG00000074071","MRPS34"
"ENSG00000074181.9",5658.455,0.4,0.459,0.871,0.384,1,"insig","ENSG00000074181","NOTCH3"
"ENSG00000074201.9",2512.686,-0.148,0.161,-0.919,0.358,1,"insig","ENSG00000074201","CLNS1A"
"ENSG00000074211.14",893.538,0.833,0.943,0.883,0.377,1,"insig","ENSG00000074211","PPP2R2C"
"ENSG00000074219.14",1759.863,0.592,0.44,1.345,0.179,1,"insig","ENSG00000074219","TEAD2"
"ENSG00000074317.11",2.968,1.152,0.805,1.431,0.153,0.997,"insig","ENSG00000074317","SNCB"
"ENSG00000074319.13",2785.094,-0.086,0.177,-0.485,0.628,1,"insig","ENSG00000074319","TSG101"
"ENSG00000074356.17",1631.141,-0.352,0.202,-1.741,0.082,0.945,"insig","ENSG00000074356","NCBP3"
"ENSG00000074370.18",992.645,-0.327,0.346,-0.947,0.344,1,"insig","ENSG00000074370","ATP2A3"
"ENSG00000074410.14",572.049,-1.137,0.777,-1.463,0.144,0.997,"insig","ENSG00000074410","CA12"
"ENSG00000074527.13",1722.023,-0.14,0.38,-0.368,0.713,1,"insig","ENSG00000074527","NTN4"
"ENSG00000074582.15",1152.5,0.038,0.161,0.238,0.812,1,"insig","ENSG00000074582","BCS1L"
"ENSG00000074603.19",1333.609,0.062,0.164,0.379,0.705,1,"insig","ENSG00000074603","DPP8"
"ENSG00000074621.14",499.027,0.168,0.243,0.69,0.49,1,"insig","ENSG00000074621","SLC24A1"
"ENSG00000074657.14",1707.061,0.533,0.414,1.288,0.198,1,"insig","ENSG00000074657","ZNF532"
"ENSG00000074695.6",8229.192,-0.155,0.365,-0.425,0.671,1,"insig","ENSG00000074695","LMAN1"
"ENSG00000074696.13",6593.363,0.195,0.258,0.753,0.451,1,"insig","ENSG00000074696","HACD3"
"ENSG00000074755.15",1825.791,-0.039,0.182,-0.214,0.831,1,"insig","ENSG00000074755","ZZEF1"
"ENSG00000074771.4",0.089,-0.41,3.657,-0.112,0.911,1,"insig","ENSG00000074771","NOX3"
"ENSG00000074800.16",33561.747,-0.51,0.278,-1.835,0.066,0.917,"insig","ENSG00000074800","ENO1"
"ENSG00000074842.8",5200.632,-0.086,0.233,-0.367,0.714,1,"insig","ENSG00000074842","MYDGF"
"ENSG00000074855.11",765.886,0.348,0.325,1.07,0.285,1,"insig","ENSG00000074855","ANO8"
"ENSG00000074935.14",789.403,-0.312,0.484,-0.644,0.52,1,"insig","ENSG00000074935","TUBE1"
"ENSG00000074964.17",3724.363,0.15,0.336,0.447,0.655,1,"insig","ENSG00000074964","ARHGEF10L"
"ENSG00000074966.11",45.425,-0.499,0.404,-1.234,0.217,1,"insig","ENSG00000074966","TXK"
"ENSG00000075035.10",7.004,0.803,0.484,1.659,0.097,0.945,"insig","ENSG00000075035","WSCD2"
"ENSG00000075131.10",174.993,0.241,0.211,1.141,0.254,1,"insig","ENSG00000075131","TIPIN"
"ENSG00000075142.14",1735.116,-0.509,0.269,-1.892,0.059,0.884,"insig","ENSG00000075142","SRI"
"ENSG00000075188.9",413.61,-0.182,0.219,-0.833,0.405,1,"insig","ENSG00000075188","NUP37"
"ENSG00000075213.11",150.033,-2.295,0.68,-3.376,0.001,0.136,"insig","ENSG00000075213","SEMA3A"
"ENSG00000075218.19",302.824,-0.69,0.557,-1.239,0.215,1,"insig","ENSG00000075218","GTSE1"
"ENSG00000075223.14",1140.216,-0.096,0.736,-0.13,0.897,1,"insig","ENSG00000075223","SEMA3C"
"ENSG00000075234.17",5162.178,0.138,0.46,0.301,0.764,1,"insig","ENSG00000075234","TTC38"
"ENSG00000075239.14",8258.193,-0.595,0.656,-0.907,0.365,1,"insig","ENSG00000075239","ACAT1"
"ENSG00000075240.17",2449.801,0.094,0.231,0.408,0.683,1,"insig","ENSG00000075240","GRAMD4"
"ENSG00000075275.18",1880.623,-0.628,0.38,-1.654,0.098,0.945,"insig","ENSG00000075275","CELSR1"
"ENSG00000075290.8",3.498,0.485,0.537,0.903,0.367,1,"insig","ENSG00000075290","WNT8B"
"ENSG00000075292.19",4151.303,0.04,0.125,0.315,0.753,1,"insig","ENSG00000075292","ZNF638"
"ENSG00000075303.13",568.737,-0.258,0.174,-1.482,0.138,0.995,"insig","ENSG00000075303","SLC25A40"
"ENSG00000075336.12",754.809,-0.152,0.206,-0.74,0.459,1,"insig","ENSG00000075336","TIMM21"
"ENSG00000075340.23",49.676,0.227,0.532,0.427,0.67,1,"insig","ENSG00000075340","ADD2"
"ENSG00000075388.4",0.212,0.596,2.631,0.227,0.821,1,"insig","ENSG00000075388","FGF4"
"ENSG00000075399.14",935.464,0.168,0.25,0.671,0.502,1,"insig","ENSG00000075399","VPS9D1"
"ENSG00000075413.19",1974.513,-0.244,0.159,-1.534,0.125,0.972,"insig","ENSG00000075413","MARK3"
"ENSG00000075420.13",4375.049,0.292,0.282,1.037,0.3,1,"insig","ENSG00000075420","FNDC3B"
"ENSG00000075426.12",4819.128,-0.783,0.344,-2.276,0.023,0.656,"insig","ENSG00000075426","FOSL2"
"ENSG00000075429.9",5.746,-1.211,0.787,-1.539,0.124,0.972,"insig","ENSG00000075429","CACNG5"
"ENSG00000075461.6",273.797,-0.411,0.934,-0.44,0.66,1,"insig","ENSG00000075461","CACNG4"
"ENSG00000075539.15",1433.491,0.091,0.185,0.489,0.625,1,"insig","ENSG00000075539","FRYL"
"ENSG00000075568.17",2616.6,0.031,0.16,0.195,0.845,1,"insig","ENSG00000075568","TMEM131"
"ENSG00000075618.18",3854.502,-0.427,0.468,-0.913,0.361,1,"insig","ENSG00000075618","FSCN1"
"ENSG00000075624.17",171261.312,-0.016,0.166,-0.094,0.925,1,"insig","ENSG00000075624","ACTB"
"ENSG00000075643.6",1317.959,-0.065,0.494,-0.132,0.895,1,"insig","ENSG00000075643","MOCOS"
"ENSG00000075673.12",13.082,-0.632,0.953,-0.664,0.507,1,"insig","ENSG00000075673","ATP12A"
"ENSG00000075711.21",2410.089,0.036,0.181,0.201,0.841,1,"insig","ENSG00000075711","DLG1"
"ENSG00000075785.14",9049.67,-0.052,0.186,-0.281,0.779,1,"insig","ENSG00000075785","RAB7A"
"ENSG00000075790.12",20.073,-0.273,0.25,-1.094,0.274,1,"insig","ENSG00000075790","BCAP29"
"ENSG00000075826.17",410.867,0.147,0.368,0.401,0.689,1,"insig","ENSG00000075826","SEC31B"
"ENSG00000075856.12",1701.448,0.043,0.142,0.305,0.76,1,"insig","ENSG00000075856","SART3"
"ENSG00000075884.14",258.221,0.179,0.386,0.465,0.642,1,"insig","ENSG00000075884","ARHGAP15"
"ENSG00000075886.11",23.947,0.078,0.499,0.156,0.876,1,"insig","ENSG00000075886","TUBA3D"
"ENSG00000075914.13",633.535,-0.028,0.227,-0.122,0.903,1,"insig","ENSG00000075914","EXOSC7"
"ENSG00000075945.13",1797.959,0.433,0.283,1.53,0.126,0.972,"insig","ENSG00000075945","KIFAP3"
"ENSG00000075975.17",714.26,-0.163,0.227,-0.716,0.474,1,"insig","ENSG00000075975","MKRN2"
"ENSG00000076003.5",1401.823,0.032,0.304,0.105,0.916,1,"insig","ENSG00000076003","MCM6"
"ENSG00000076043.11",917.689,-0.146,0.199,-0.736,0.462,1,"insig","ENSG00000076043","REXO2"
"ENSG00000076053.12",841.789,-0.051,0.189,-0.269,0.788,1,"insig","ENSG00000076053","RBM7"
"ENSG00000076108.12",3821.113,0.394,0.217,1.813,0.07,0.922,"insig","ENSG00000076108","BAZ2A"
"ENSG00000076258.10",840.341,-0.182,0.548,-0.333,0.739,1,"insig","ENSG00000076258","FMO4"
"ENSG00000076321.11",781.917,0.091,0.255,0.359,0.72,1,"insig","ENSG00000076321","KLHL20"
"ENSG00000076344.16",80.31,1.404,0.506,2.772,0.006,0.323,"insig","ENSG00000076344","RGS11"
"ENSG00000076351.13",457.853,-0.037,0.34,-0.108,0.914,1,"insig","ENSG00000076351","SLC46A1"
"ENSG00000076356.7",1407.865,-0.195,0.396,-0.491,0.623,1,"insig","ENSG00000076356","PLXNA2"
"ENSG00000076382.17",700.1,-0.337,0.353,-0.955,0.34,1,"insig","ENSG00000076382","SPAG5"
"ENSG00000076513.17",1636.013,0.011,0.276,0.04,0.968,1,"insig","ENSG00000076513","ANKRD13A"
"ENSG00000076641.4",593.205,0.214,0.406,0.527,0.598,1,"insig","ENSG00000076641","PAG1"
"ENSG00000076650.7",512.717,0.163,0.142,1.146,0.252,1,"insig","ENSG00000076650","GPATCH1"
"ENSG00000076685.19",705.912,0.084,0.326,0.257,0.797,1,"insig","ENSG00000076685","NT5C2"
"ENSG00000076706.17",5261.672,1.152,0.498,2.315,0.021,0.635,"insig","ENSG00000076706","MCAM"
"ENSG00000076716.9",1208.743,-0.172,0.49,-0.351,0.725,1,"insig","ENSG00000076716","GPC4"
"ENSG00000076826.10",1953.676,0.272,0.309,0.88,0.379,1,"insig","ENSG00000076826","CAMSAP3"
"ENSG00000076924.12",2713.492,0.207,0.179,1.154,0.248,1,"insig","ENSG00000076924","XAB2"
"ENSG00000076984.18",1781.698,0.103,0.129,0.802,0.423,1,"insig","ENSG00000076984","MAP2K7"
"ENSG00000077044.11",1085.05,-0.026,0.226,-0.115,0.909,1,"insig","ENSG00000077044","DGKD"
"ENSG00000077063.11",720.117,-1.252,0.587,-2.131,0.033,0.755,"insig","ENSG00000077063","CTTNBP2"
"ENSG00000077080.10",3.431,0.258,1.126,0.229,0.819,1,"insig","ENSG00000077080","ACTL6B"
"ENSG00000077147.16",9555.681,0.081,0.183,0.443,0.658,1,"insig","ENSG00000077147","TM9SF3"
"ENSG00000077235.18",3684.169,-0.02,0.125,-0.163,0.87,1,"insig","ENSG00000077235","GTF3C1"
"ENSG00000077238.14",5048.628,0.155,0.211,0.736,0.462,1,"insig","ENSG00000077238","IL4R"
"ENSG00000077254.14",2141.58,-0.11,0.161,-0.682,0.495,1,"insig","ENSG00000077254","USP33"
"ENSG00000077274.9",1447.953,0.959,0.755,1.27,0.204,1,"insig","ENSG00000077274","CAPN6"
"ENSG00000077312.9",1839.541,0.013,0.24,0.054,0.957,1,"insig","ENSG00000077312","SNRPA"
"ENSG00000077327.16",7.474,-0.921,0.891,-1.033,0.301,1,"insig","ENSG00000077327","SPAG6"
"ENSG00000077380.16",3555.034,-0.168,0.247,-0.682,0.495,1,"insig","ENSG00000077380","DYNC1I2"
"ENSG00000077420.16",2208.433,0.282,0.579,0.487,0.626,1,"insig","ENSG00000077420","APBB1IP"
"ENSG00000077458.13",738.268,0.18,0.189,0.952,0.341,1,"insig","ENSG00000077458","FAM76B"
"ENSG00000077463.15",1056.179,0.01,0.248,0.041,0.967,1,"insig","ENSG00000077463","SIRT6"
"ENSG00000077498.9",0.697,1.228,1.275,0.963,0.336,1,"insig","ENSG00000077498","TYR"
"ENSG00000077514.9",869.724,0.149,0.261,0.572,0.567,1,"insig","ENSG00000077514","POLD3"
"ENSG00000077549.19",6545.402,-0.28,0.182,-1.542,0.123,0.972,"insig","ENSG00000077549","CAPZB"
"ENSG00000077585.14",1149.675,0.216,0.317,0.681,0.496,1,"insig","ENSG00000077585","GPR137B"
"ENSG00000077616.11",46.121,0.075,0.37,0.204,0.839,1,"insig","ENSG00000077616","NAALAD2"
"ENSG00000077684.16",1559.374,-0.154,0.222,-0.696,0.487,1,"insig","ENSG00000077684","JADE1"
"ENSG00000077713.19",867.137,0.3,0.181,1.655,0.098,0.945,"insig","ENSG00000077713","SLC25A43"
"ENSG00000077800.13",2.574,1.355,0.817,1.659,0.097,0.945,"insig","ENSG00000077800","FKBP6"
"ENSG00000077935.17",19.894,0.366,0.587,0.623,0.533,1,"insig","ENSG00000077935","SMC1B"
"ENSG00000077942.19",2774.785,0.609,0.447,1.361,0.173,1,"insig","ENSG00000077942","FBLN1"
"ENSG00000077943.8",174.969,0.199,0.353,0.563,0.573,1,"insig","ENSG00000077943","ITGA8"
"ENSG00000077984.6",237.791,-0.424,0.568,-0.747,0.455,1,"insig","ENSG00000077984","CST7"
"ENSG00000078043.16",771.525,0.003,0.165,0.017,0.987,1,"insig","ENSG00000078043","PIAS2"
"ENSG00000078053.17",43.917,-1.351,0.461,-2.934,0.003,0.262,"insig","ENSG00000078053","AMPH"
"ENSG00000078081.8",335.863,1.353,0.551,2.457,0.014,0.514,"insig","ENSG00000078081","LAMP3"
"ENSG00000078114.19",830.538,-0.31,0.572,-0.543,0.587,1,"insig","ENSG00000078114","NEBL"
"ENSG00000078140.14",3037.526,-0.1,0.206,-0.487,0.626,1,"insig","ENSG00000078140","UBE2K"
"ENSG00000078237.7",187.03,0.137,0.301,0.455,0.649,1,"insig","ENSG00000078237","TIGAR"
"ENSG00000078246.17",1043.63,0.242,0.259,0.934,0.35,1,"insig","ENSG00000078246","TULP3"
"ENSG00000078269.15",1491.516,-0.21,0.247,-0.852,0.394,1,"insig","ENSG00000078269","SYNJ2"
"ENSG00000078295.17",9.805,-0.344,0.613,-0.56,0.575,1,"insig","ENSG00000078295","ADCY2"
"ENSG00000078399.19",7.314,-0.43,0.823,-0.522,0.601,1,"insig","ENSG00000078399","HOXA9"
"ENSG00000078401.7",414.349,0.074,0.5,0.148,0.882,1,"insig","ENSG00000078401","EDN1"
"ENSG00000078403.17",1181.729,0.379,0.153,2.473,0.013,0.507,"insig","ENSG00000078403","MLLT10"
"ENSG00000078579.9",1.974,-1.288,0.583,-2.208,0.027,0.698,"insig","ENSG00000078579","FGF20"
"ENSG00000078589.13",66.986,0.247,0.554,0.445,0.656,1,"insig","ENSG00000078589","P2RY10"
"ENSG00000078596.11",405.411,0.198,0.533,0.372,0.71,1,"insig","ENSG00000078596","ITM2A"
"ENSG00000078668.14",3174.261,-0.1,0.198,-0.504,0.614,1,"insig","ENSG00000078668","VDAC3"
"ENSG00000078699.22",1271.791,0.189,0.261,0.723,0.47,1,"insig","ENSG00000078699","CBFA2T2"
"ENSG00000078725.13",50.2,0.43,0.738,0.582,0.56,1,"insig","ENSG00000078725","BRINP1"
"ENSG00000078795.17",4.036,0.067,0.543,0.123,0.902,1,"insig","ENSG00000078795","PKD2L2"
"ENSG00000078804.13",2580.025,-0.151,0.421,-0.36,0.719,1,"insig","ENSG00000078804","TP53INP2"
"ENSG00000078898.7",6.393,0.143,1.129,0.127,0.899,1,"insig","ENSG00000078898","BPIFB2"
"ENSG00000078902.16",4827.938,0.039,0.32,0.122,0.903,1,"insig","ENSG00000078902","TOLLIP"
"ENSG00000078967.13",547.645,0.028,0.279,0.1,0.921,1,"insig","ENSG00000078967","UBE2D4"
"ENSG00000079112.10",402.206,0.155,0.967,0.16,0.873,1,"insig","ENSG00000079112","CDH17"
"ENSG00000079156.17",213.196,-0.346,0.589,-0.587,0.558,1,"insig","ENSG00000079156","OSBPL6"
"ENSG00000079246.16",12492.467,-0.079,0.117,-0.677,0.498,1,"insig","ENSG00000079246","XRCC5"
"ENSG00000079257.8",531.761,-0.292,0.439,-0.667,0.505,1,"insig","ENSG00000079257","LXN"
"ENSG00000079263.19",100.754,-0.305,0.448,-0.681,0.496,1,"insig","ENSG00000079263","SP140"
"ENSG00000079277.22",950.714,0.044,0.165,0.267,0.79,1,"insig","ENSG00000079277","MKNK1"
"ENSG00000079313.15",1165.779,0.147,0.131,1.124,0.261,1,"insig","ENSG00000079313","REXO1"
"ENSG00000079335.20",124.237,-0.132,0.35,-0.378,0.705,1,"insig","ENSG00000079335","CDC14A"
"ENSG00000079337.16",346.935,0.687,0.288,2.388,0.017,0.569,"insig","ENSG00000079337","RAPGEF3"
"ENSG00000079385.23",1658.247,-0.039,0.487,-0.08,0.936,1,"insig","ENSG00000079385","CEACAM1"
"ENSG00000079435.10",128.617,1.101,0.507,2.171,0.03,0.719,"insig","ENSG00000079435","LIPE"
"ENSG00000079462.8",877.555,0.521,0.447,1.166,0.243,1,"insig","ENSG00000079462","PAFAH1B3"
"ENSG00000079557.5",7709.488,-0.401,1.332,-0.301,0.764,1,"insig","ENSG00000079557","AFM"
"ENSG00000079739.17",5921.324,-0.259,0.53,-0.49,0.624,1,"insig","ENSG00000079739","PGM1"
"ENSG00000079785.16",3748.742,-0.049,0.129,-0.384,0.701,1,"insig","ENSG00000079785","DDX1"
"ENSG00000079931.15",396.512,-0.442,0.574,-0.77,0.441,1,"insig","ENSG00000079931","MOXD1"
"ENSG00000079950.14",2277.292,-0.065,0.186,-0.348,0.728,1,"insig","ENSG00000079950","STX7"
"ENSG00000079999.14",3098.87,-0.191,0.126,-1.518,0.129,0.978,"insig","ENSG00000079999","KEAP1"
"ENSG00000080007.8",27.963,-1.14,0.739,-1.543,0.123,0.972,"insig","ENSG00000080007","DDX43"
"ENSG00000080031.10",1633.018,0.451,0.569,0.793,0.428,1,"insig","ENSG00000080031","PTPRH"
"ENSG00000080166.16",8.675,0.069,0.605,0.114,0.91,1,"insig","ENSG00000080166","DCT"
"ENSG00000080189.15",3080.549,-0.081,0.145,-0.56,0.576,1,"insig","ENSG00000080189","SLC35C2"
"ENSG00000080200.10",216.236,-0.376,0.414,-0.909,0.363,1,"insig","ENSG00000080200","CRYBG3"
"ENSG00000080293.10",5579.741,-0.127,0.828,-0.154,0.878,1,"insig","ENSG00000080293","SCTR"
"ENSG00000080345.18",2424.161,0.155,0.19,0.818,0.413,1,"insig","ENSG00000080345","RIF1"
"ENSG00000080371.6",2573.334,0.061,0.136,0.445,0.656,1,"insig","ENSG00000080371","RAB21"
"ENSG00000080511.5",1.074,1.855,1.344,1.381,0.167,1,"insig","ENSG00000080511","RDH8"
"ENSG00000080561.14",641.3,0.455,0.278,1.638,0.101,0.945,"insig","ENSG00000080561","MID2"
"ENSG00000080573.7",673.096,0.009,0.42,0.02,0.984,1,"insig","ENSG00000080573","COL5A3"
"ENSG00000080603.17",118.098,0.193,0.169,1.146,0.252,1,"insig","ENSG00000080603","SRCAP"
"ENSG00000080608.10",991.637,-0.254,0.194,-1.31,0.19,1,"insig","ENSG00000080608","PUM3"
"ENSG00000080618.17",14147.147,-0.134,0.871,-0.154,0.878,1,"insig","ENSG00000080618","CPB2"
"ENSG00000080644.16",15.767,0.246,0.923,0.267,0.79,1,"insig","ENSG00000080644","CHRNA3"
"ENSG00000080819.9",751.451,-0.281,0.356,-0.789,0.43,1,"insig","ENSG00000080819","CPOX"
"ENSG00000080822.17",1369.203,0.041,0.194,0.21,0.834,1,"insig","ENSG00000080822","CLDND1"
"ENSG00000080823.23",416.757,-0.915,0.347,-2.638,0.008,0.397,"insig","ENSG00000080823","MOK"
"ENSG00000080824.19",28143.325,-0.412,0.225,-1.829,0.067,0.918,"insig","ENSG00000080824","HSP90AA1"
"ENSG00000080839.12",372.259,-0.093,0.29,-0.322,0.747,1,"insig","ENSG00000080839","RBL1"
"ENSG00000080854.16",166.209,0.43,0.572,0.751,0.453,1,"insig","ENSG00000080854","IGSF9B"
"ENSG00000080986.13",268.974,-0.49,0.521,-0.94,0.347,1,"insig","ENSG00000080986","NDC80"
"ENSG00000081014.11",441.728,0.066,0.17,0.388,0.698,1,"insig","ENSG00000081014","AP4E1"
"ENSG00000081026.19",914.814,-0.001,0.308,-0.002,0.998,1,"insig","ENSG00000081026","MAGI3"
"ENSG00000081041.9",3154.306,0.696,0.571,1.219,0.223,1,"insig","ENSG00000081041","CXCL2"
"ENSG00000081051.8",91.319,0.934,0.976,0.957,0.339,1,"insig","ENSG00000081051","AFP"
"ENSG00000081059.20",546.016,-1.277,0.477,-2.675,0.007,0.388,"insig","ENSG00000081059","TCF7"
